geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
99072,en,AS,Asia,IQ,Iraq,NI,Nineveh,,,Mosul,,Asia/Baghdad,0
99131,en,AS,Asia,IQ,Iraq,WA,Muhafazat Wasit,,,Kut,,Asia/Baghdad,0
99237,en,AS,Asia,IQ,Iraq,,,,,,,Asia/Baghdad,0
99308,en,AS,Asia,IQ,Iraq,AN,Al Anbar,,,'Ali al Ahmad,,Asia/Baghdad,0
99347,en,AS,Asia,IQ,Iraq,BB,Muhafazat Babil,,,Al Hillah,,Asia/Baghdad,0
99434,en,AS,Asia,IQ,Iraq,QA,Muhafazat al Qadisiyah,,,Nahiyat Ghammas,,Asia/Baghdad,0
99532,en,AS,Asia,IQ,Iraq,BA,Basra,,,Basrah,,Asia/Baghdad,0
99548,en,AS,Asia,IQ,Iraq,WA,Muhafazat Wasit,,,Al 'Aziziyah,,Asia/Baghdad,0
99592,en,AS,Asia,IQ,Iraq,AN,Al Anbar,,,Al Anbar,,Asia/Baghdad,0
99608,en,AS,Asia,IQ,Iraq,MA,Maysan,,,Amara,,Asia/Baghdad,0
99738,en,AS,Asia,IQ,Iraq,QA,Muhafazat al Qadisiyah,,,'Afak,,Asia/Baghdad,0
99762,en,AS,Asia,IQ,Iraq,QA,Muhafazat al Qadisiyah,,,Ad Diwaniyah,,Asia/Baghdad,0
